261,Daporijo,3
262,Deomali,3
263,Itanagar,3
264,Jairampur,3
265,Khonsa,3
266,Naharlagun,3
267,Namsai,3
268,Pasighat,3
269,Roing,3
270,Seppa,3
271,Tawang,3
272,Tezu,3
273,Ziro,3
274,Abhayapuri,4
275,Ambikapur Part-X,4
276,Amguri,4
277,Anand Nagar,4
278,Badarpur,4
279,Badarpur Rly Town,4
280,Bahbari Gaon,4
281,Bamun Sualkuchi,4
282,Barbari (AMC Area),4
283,Barpathar,4
284,Barpeta,4
285,Barpeta Road,4
286,Basugaon,4
287,Bihpuria,4
288,Bijni,4
289,Bilasipara,4
290,Biswanath Chariali,4
291,Bohari,4
292,Bokajan,4
293,Bokakhat,4
294,Bongaigaon,4
295,"Bongaigaon, Refinery & Petro-chemical Ltd. Township",4
296,Borgolai Grant No.11,4
297,Chabua,4
298,Chandrapur Bagicha,4
299,Chapar,4
300,Chekonidhara,4
301,Choto Haibor,4
302,Dergaon,4
303,Dharapur,4
304,Dhekiajuli,4
305,Dhemaji,4
306,Dhing,4
307,Dhubri,4
308,Dibrugarh,4
309,Digboi,4
310,Digboi Oil Town,4
311,Dimaruguri,4
312,Diphu,4
313,Doboka,4
314,Dokmoka,4
315,Donkamokam,4
316,Doom Dooma,4
317,Duliajan No.1,4
318,Duliajan Oil Town,4
170,Nizamabad,33
196,Ramagundam,33
213,Siddipet,33
223,Suryapet,33
169,Nirmal,33
161,Narayanpet,33
216,Sircilla,33
178,Palwancha,33
244,Vikarabad,33
228,Tandur,33
256,Zahirabad,33
208,Sangareddy,33
319,Durga Nagar Part-V,4
320,Gauripur,4
321,Goalpara,4
322,Gohpur,4
323,Golaghat,4
324,Golokganj,4
325,Gossaigaon,4
326,Guwahati,4
327,Haflong,4
328,Hailakandi,4
329,Hamren,4
330,Hindustan Paper Corporation Ltd. Township Area Panchgram,4
331,Hojai,4
332,Howli,4
333,Howraghat,4
334,Jagiroad,4
335,Jonai Bazar,4
336,Jorhat,4
337,Kampur Town,4
338,Kanakpur Part-II,4
339,Karimganj,4
340,Kharijapikon,4
341,Kharupatia,4
342,Kochpara,4
343,Kokrajhar,4
344,Kumar Kaibarta Gaon,4
345,Lakhipur,4
346,Lala,4
347,Lanka,4
348,Lido Tikok,4
349,Lido Town,4
350,Lumding,4
351,Lumding Rly Colony,4
352,Mahur,4
353,Maibong,4
354,Majgaon,4
355,Makum,4
356,Mangaldoi,4
357,Mankachar,4
